source_id,target_id,score
H8VA07094,H8IL06139,6
H8NC09123,S0NC00202,6
H0NC09187,H0NC03172,6
S2KY00012,H0NC09187,6
H8AZ08083,S0AZ00350,6
H8IL14174,P00009423,6
H8NC09123,H2NY22139,6
H8CA20059,S8AZ00221,6
S0AZ00350,S0SC00289,6
H8NM02248,H8NC09123,6
H8CA25074,H8TX23121,6
S0AZ00350,H8AZ08083,6
H8IL06139,H8IL13150,6
S0AL00156,S0AZ00350,5
H8TX23121,S0ME00111,5
S0SC00289,P00010298,5
H8CA45130,P00009423,5
H8NM02248,P00009621,5
H4CA11081,H8CA10167,5
S2TX00312,H4WA04104,5
S0AZ00350,H8TX23121,5
P00011833,P00009621,5
P00010454,S0AZ00350,5
P00009423,P00011833,5
H6GA05217,H0CA27085,5
H8NY15148,H8MN05239,5
H8SC01116,H8NM02248,5
H8UT04053,H8NM02248,5
P00009092,P80006117,5
H4WA04104,S2TX00312,5
H8MN05239,H8NY15148,5
H8CA45130,H8IA01094,5
H8CA45130,P00009621,5
P00009423,S0SC00289,5
H8TX23121,S0AZ00350,5
S0ME00111,S0AZ00350,5
P00010298,S0SC00289,5
S0SC00289,P00009423,5
S0ME00111,H8TX23121,5
P00009290,P80006117,5
P00011833,P00010298,5
P80006117,S0AZ00350,5
H0CA27085,H6GA05217,5
H8NJ07223,H8CA45130,5
S0AZ00350,S0AL00156,5
H0NC09187,H6FL18097,5
P00009621,S0ME00111,5
S4AK00214,H8CA20059,5
H8VA07094,H8NM02248,5
P00009621,P00011833,5
S0AZ00350,P80006117,5
S0SC00149,S4AR00103,5
H8CO06229,H8ME02185,5
H8NM02248,H8SC01116,5
P00010298,P00011833,5
H8CA45130,H8NJ07223,5
P00009423,H8CA45130,5
P00009621,H8NM02248,5
H8IA01094,H8CA45130,5
H6AK00045,S4AK00214,5
H8TX32098,H8ME02185,5
P00011833,P00009423,5
H6FL18097,H0NC09187,5
S0ME00111,P00009621,5
P80006117,P00009092,5
H8CA10167,H4CA11081,5
H8ME02185,H8CO06229,5
H8NM02248,H8VA07094,5
H8CA20059,S4AK00214,5
S0AZ00350,S0ME00111,5
S6IL00292,S0AZ00350,5
P80006117,P00009290,5
S0AZ00350,S6IL00292,5
P00009621,H8CA45130,5
S4AK00214,H6AK00045,5
H8NM02248,H8UT04053,5
S4AR00103,S0SC00149,5
H8CA45130,H8CA10126,5
H8CA10126,H8CA45130,5
H8ME02185,H8TX32098,5
S0AZ00350,P00010454,5
H8IL06139,H8MI11254,4
H8GA06393,P00009621,4
H8NC09123,H8NY19181,4
H8IA03124,H8NJ03206,4
H8NC09123,S4MI00355,4
H8NC09123,H2TX35011,4
H8NC09123,H8CA39174,4
S8MN00578,P80006117,4
H0CA22102,H8NC09123,4
H8NY19181,H8CA45130,4
P00010793,H0TX24167,4
H8NC09123,H8TX10110,4
H8NC09123,H8VA05114,4
H8VA07094,H8VA02111,4
P00009621,S8OR00207,4
H8IL14174,H8CA45130,4
H8NY19181,H8NJ03206,4
H6CA24303,H8NC09123,4
H8CA48035,H8IL06139,4
H8NJ03206,H8NY19181,4
H8CA10167,H8TX07140,4
P00010298,P00011999,4
H8NC09123,H8NY22151,4
H8NY19181,H8NC09123,4
H8ME02185,H8IA03124,4
P00010298,H8ME02185,4
H8NY19181,H8NM02248,4
H8KS03155,H8TX07140,4
P80006117,S8MN00578,4
H8NJ11142,H8NC09123,4
P00010454,P80006117,4
H8NC09123,H6CO01141,4
H8VA02111,H8NC09123,4
S0CO00468,H8NC09123,4
P00010454,P80000722,4
H8IA03124,H8ME02185,4
H8NC09123,H0NH02181,4
H8MN03143,H8NC09123,4
P80000722,H8TX23121,4
S8OR00207,S6OR00110,4
H8TX07140,H8KS03155,4
S0AZ00350,P60007168,4
S0NM00058,P00009423,4
H8VA07094,H8NJ11142,4
S2KY00012,S0SC00149,4
H8NC09123,H8TX25159,4
H8CA45130,H8NY19181,4
H8NJ03206,H8CA10126,4
S8TN00311,H8NC09123,4
H8IL06139,H8ME02185,4
H8NC09123,S8OR00207,4
H8CA05035,P80000722,4
H8OK05109,H8NM02248,4
H8MI11254,H8IL06139,4
H8VA07094,H8NJ07223,4
H8CA10126,H8NJ03206,4
H8NY22151,H8NC09123,4
H8CA45130,H8NM02248,4
H8CA45130,H8MI08102,4
H8NC09123,S0CO00468,4
H8GA06393,H8NJ03206,4
H8NY15148,S0SC00289,4
S6IL00151,H8IL06139,4
H8NM02248,H8NY19181,4
H8NC09123,H8MA03106,4
H8IL14174,H8NY15148,4
H8VA07094,H8TX07140,4
H8CT05245,H8NC09123,4
H8IL06139,H8VA02111,4
P00006486,P60007168,4
S0TX00233,H8TX07140,4
H8MI11254,H8NC09123,4
H8TX25159,H8NC09123,4
H8MI13250,H8NC09123,4
H8NC09123,H8MN03143,4
H8TX23121,P80000722,4
H0CA27085,P00009621,4
H8SC01116,H8UT04053,4
S0SC00289,H8NY15148,4
P00009423,S0NM00058,4
H8CA10167,H8CA10126,4
S0NM00074,P00009621,4
P00009423,H8CA25074,4
P80000722,P00010454,4
H8IA03124,H8NM02248,4
H8TX25159,H8TX23121,4
S0NM00074,H8NM02248,4
H8NC09123,H8CT05245,4
P00009621,S0NM00074,4
P00009183,P00010298,4
H8OK05109,H8SC01116,4
H0IA02156,H8NC09123,4
H4WA04104,P80001571,4
H8CA10126,H8CA48035,4
H8GA06393,H8IL06139,4
P00009423,H0CA27085,4
H8IL06139,H8FL26039,4
P00010298,H8CA45130,4
H8IL14174,H8IA01094,4
P00009621,H8GA06393,4
H8VA02111,H8VA07094,4
H8NY19181,H8IL06139,4
H8IL06139,H6MN02131,4
H2CA31125,H8NC09123,4
P00011999,P00010298,4
H8NJ11142,H8VA07094,4
H8TX32098,H8IL06139,4
S0SC00289,H8IL14174,4
H8IL06139,H8GA06393,4
H8NC09123,H8MI13250,4
H8NC09123,H2CA31125,4
H8VA05114,H8NC09123,4
H8FL26039,H8IL06139,4
H8GA06393,H8NJ07223,4
H8MI08102,H8NM02248,4
P80000722,H8CA05035,4
H8ME02185,P00010298,4
H0CA27085,P00009423,4
