id,candidate_name,party,candidate_office
C00446815,MCCLINTOCK, THOMAS,REP,H
C00446906,SCHRADER, KURT,DEM,H
C00450049,TONKO, PAUL DAVID,DEM,H
C00451336,RICHMOND, CEDRIC L.,DEM,H
C00457325,SHAHEEN, JEANNE,DEM,S
C00457556,QUIGLEY, MIKE,DEM,H
C00458125,CHU, JUDY,DEM,H
C00458315,MORAN, JERRY,REP,S
C00458398,BENNET, MICHAEL F,DEM,S
C00458463,PORTMAN, ROB THE HONORA,REP,S
C00458679,LUETKEMEYER, W BLAINE,REP,H
C00458828,GRAHAM, LINDSEY O.,REP,S
C00458877,KINZINGER, ADAM,REP,H
C00458976,SEWELL, TERRI A.,DEM,H
C00459099,DELBENE, SUZAN K,DEM,H
C00459255,YOUNG, TODD CHRISTOPHER,REP,S
C00459297,HUIZENGA, WILLIAM P,REP,H
C00460063,LONG, BILLY MR.,REP,H
C00460261,LAWSON, ALFRED JR,DEM,H
C00460378,CORNYN, JOHN SEN,REP,S
C00460550,DUNCAN, JEFFREY D MR.,REP,H
C00461046,TOOMEY, PATRICK JOSEPH,REP,S
C00461061,BERA, AMERISH,DEM,H
C00461806,GOSAR, PAUL DR.,REP,H
C00461822,FLEISCHMANN, CHARLES J,REP,H
C00462143,ROBY, MARTHA,REP,H
C00462556,GRAVES, JOHN THOMAS MR. JR.,REP,H
C00462697,GARAMENDI, JOHN,DEM,H
C00462861,KUSTER, ANN MCLANE,DEM,H
C00464032,REED, THOMAS W,REP,H
C00464073,DESJARLAIS, SCOTT HON.,REP,H
C00464149,BROOKS, MO,REP,H
C00464297,AYOTTE, KELLY A,REP,S
C00464339,DUFFY, SEAN,REP,H
C00464602,HARTZLER, VICKY,REP,H
C00466482,LANKFORD, JAMES PAUL,REP,S
C00467571,BARR, GARLAND ANDY,REP,H
C00468256,BUCSHON, LARRY D.,REP,H
C00468579,WALORSKI SWIHART, JACKIE,REP,H
C00469163,DEUTCH, THEODORE ELIOT,DEM,H
C00470757,TIPTON, SCOTT R.,REP,H
C00470765,MERKLEY, JEFFREY ALAN,DEM,S
C00472159,HECK, DENNIS,DEM,H
C00472241,FLORES, BILL,REP,H
C00472704,HERRERA BEUTLER, JAIME,REP,H
C00473371,HOEVEN, JOHN,REP,S
C00473827,LEE, MIKE,REP,S
C00474189,KELLY, GEORGE J JR,REP,H
C00475392,COONS, CHRISTOPHER A.,DEM,S
C00476291,AMASH, JUSTIN,IND,H
C00476317,BOOZMAN, JOHN,REP,S
C00476523,BASS, KAREN,DEM,H
C00476564,CICILLINE, DAVID N,DEM,H
C00476820,JOHNSON, BILL,REP,H
C00477240,GRIFFITH, H MORGAN,REP,H
C00477323,PALAZZO, STEVEN MCCARTY,REP,H
C00477745,WOMACK, STEVE,REP,H
C00479063,KEATING, WILLIAM RICHARD,DEM,H
C00479501,MENENDEZ, ROBERT,DEM,S
C00482737,SCOTT, JAMES AUSTIN,REP,H
C00482984,JOHNSON, RONALD HAROLD,REP,S
C00486563,MANCHIN, JOE III,DEM,S
C00491357,DAINES, STEVEN,REP,S
C00492421,PELOSI, NANCY,DEM,H
C00492454,GARDNER, CORY,REP,S
C00492645,MURPHY, CHRISTOPHER S,DEM,S
C00492785,CRUZ, RAFAEL EDWARD  TED,REP,S
C00492991,BLUMENTHAL, RICHARD,DEM,S
C00494583,YOHO, THEODORE SCOTT,REP,H
C00494617,RUBIO, MARCO,REP,S
C00494856,FRANKEL, LOIS J.,DEM,H
C00495358,KAINE, TIMOTHY MICHAEL,DEM,S
C00495846,WAGNER, ANN L.,REP,H
C00495952,SCHNEIDER, BRADLEY SCOTT,DEM,H
C00496075,PAUL, RAND,REP,S
C00496760,AMODEI, MARK EUGENE,REP,H
C00497321,VARGAS, JUAN CARLOS,DEM,H
C00497818,WENSTRUP, BRAD DR.,REP,H
C00497933,CASTRO, JOAQUIN,DEM,H
C00498212,LOWENTHAL, ALAN,DEM,H
C00498345,MULLIN, MARKWAYNE MR.,REP,H
C00498568,BUSTOS, CHERI,DEM,H
C00498667,TAKANO, MARK,DEM,H
C00498873,CARDENAS, TONY,DEM,H
C00498907,FISCHER, DEBRA S.,REP,S
C00499236,HOLDING, GEORGE E MR.,REP,H
C00499467,TITUS, DINA,DEM,H
C00499947,KILDEE, DANIEL T.,DEM,H
C00499988,COTTON, THOMAS,REP,S
C00500207,BROOKS, SUSAN MRS.,REP,H
C00500421,BONAMICI, SUZANNE MS.,DEM,H
C00501197,O'ROURKE, ROBERT BETO,DEM,P
C00501643,ROUZER, DAVID CHESTON,REP,H
C00501866,GRAVES, JOHN THOMAS MR. JR.,REP,H
C00502039,COLLINS, DOUGLAS ALLEN,REP,H
C00502179,POCAN, MARK,DEM,H
C00502229,WEBER, RANDY,REP,H
C00502575,RUIZ, RAUL DR,DEM,H
C00503052,JEFFRIES, HAKEEM,DEM,H
C00503094,MEADOWS, MARK R,REP,H
C00503110,PETERS, SCOTT,DEM,H
C00503185,KHANNA, ROHIT,DEM,H
C00504019,ALLEN, RICHARD W,REP,H
C00504522,HUDSON, RICHARD L. JR.,REP,H
C00504704,CRAMER, KEVIN MR.,REP,S
C00506048,RICE, TOM,REP,H
C00506832,VEASEY, MARC ALLISON MR.,DEM,H
C00506931,STEWART, CHRIS,REP,H
C00507368,BEATTY, JOYCE,DEM,H
C00508416,DELANEY, JOHN K.,DEM,P
C00508804,SINEMA, KYRSTEN,DEM,S
C00509422,LAMALFA, DOUG,REP,H
C00509729,MASSIE, THOMAS H.,REP,H
C00509968,CARTWRIGHT, MATTHEW A.,DEM,H
C00510164,PERRY, SCOTT,REP,H
C00510461,AGUILAR, PETE,DEM,H
C00510958,ROGERS, WENDY,REP,H
C00512202,COOK, PAUL,REP,H
C00512236,MCSALLY, MARTHA,REP,H
C00512426,MALONEY, SEAN PATRICK,DEM,H
C00512970,KENNEDY, JOSEPH P III,DEM,S
C00513002,HOYER, STENY,DEM,H
C00513077,BROWNLEY, JULIA,DEM,H
C00513531,VELA, FILEMON,DEM,H
C00514893,KILMER, DEREK,DEM,H
C00516047,KING, ANGUS S. JR.,IND,S
C00516666,MENG, GRACE,DEM,H
C00519355,PAYNE, DONALD M., JR.,DEM,H
C00521948,DAVIS, RODNEY L,REP,H
C00527457,JOYCE, DAVID P,REP,H
C00528182,PLASKETT, STACEY,DEM,H
C00528547,BROWNLEY, JULIA,DEM,H
C00532465,ROUNDS, MIKE,REP,S
C00536680,HUFFMAN, JARED,DEM,H
C00539825,CAPITO, SHELLEY MOORE MS.,REP,S
C00539866,KELLY, ROBIN,DEM,H
C00539890,FEINSTEIN, DIANNE,DEM,S
C00540302,SCOTT, TIMOTHY E,REP,S
C00540500,BOOKER, CORY A,DEM,S
C00540617,SCHWEIKERT, DAVID S.,REP,H
C00540732,SCHATZ, BRIAN,DEM,S
C00541011,MCCARTHY, KEVIN,REP,H
C00541383,GARDNER, CORY,REP,H
C00541862,SMITH, JASON T,REP,H
C00541888,CLARK, KATHERINE,DEM,H
C00542423,CRUZ, RAFAEL EDWARD  TED,REP,S
C00543199,MCMORRIS RODGERS, CATHY,REP,H
C00543231,WALKER, BRADLEY MARK MR.,REP,H
C00543363,BOYLE, BRENDAN F,DEM,H
C00543892,LOUDERMILK, BARRY,REP,H
C00543967,CARTER, EARL LEROY,REP,H
C00543983,CASSIDY, WILLIAM M.,REP,S
C00544031,NUNES, DEVIN G.,REP,H
C00544312,DUFFY, SEAN,REP,H
C00544445,HICE, JODY,REP,H
C00545467,HURD, WILLIAM,REP,H
C00545616,YOUNG, DAVID,REP,H
C00545749,EMMER, THOMAS EARL JR.,REP,H
C00545772,TILLIS, THOM R. SEN.,REP,S
C00545830,CASEY, ROBERT P. JR.,DEM,S
C00546358,ADAMS, ALMA SHEALEY,DEM,H
C00546499,BOST, MICHAEL,REP,H
C00546788,ERNST, JONI K,REP,S
C00546846,CURBELO, CARLOS MR.,REP,H
C00547570,PERDUE, DAVID,REP,S
C00547679,TESTER, R. JON,DEM,S
C00547893,STEFANIK, ELISE M.,REP,H
C00547976,SASSE, BENJAMIN E,REP,S
C00548180,WESTERMAN, BRUCE,REP,H
C00548289,ROSENDALE, MATT MR.,REP,H
C00548651,MCCONNELL, MITCH,REP,S
C00550707,HAGEDORN, JAMES,REP,H
C00551275,HILL, JAMES FRENCH,REP,H
C00551374,PALMER, GARY,REP,H
C00552547,ZELDIN, LEE M,REP,H
C00553859,BABIN, BRIAN,REP,H
C00554113,RATCLIFFE, JOHN L,REP,H
C00554709,DESAULNIER, MARK,DEM,H
C00555813,RICE, KATHLEEN,DEM,H
C00555888,BEYER, DONALD STERNOFF HONORABLE JR.,DEM,H
C00556365,KATKO, JOHN M,REP,H
C00556506,LIEU, TED,DEM,H
C00557652,TORRES, NORMA,DEM,H
C00558213,DINGELL, DEBBIE,DEM,H
C00558320,NORCROSS, DONALD W,DEM,H
C00558437,COLEMAN, BONNIE WATSON,DEM,H
C00558486,GRAVES, GARRET,REP,H
C00558627,GALLEGO, RUBEN,DEM,H
C00559393,NEWHOUSE, DAN,REP,H
C00561530,MOOLENAAR, JOHN MR.,REP,H
C00561597,GROTHMAN, GLENN S.,REP,H
C00568162,SCALISE, STEVE MR,REP,H
C00568873,SCHATZ, BRIAN,DEM,S
C00570994,SULLIVAN, DAN,REP,S
C00571000,SULLIVAN, DAN,REP,S
C00571018,COTTON, THOMAS,REP,S
C00571620,PERDUE, DAVID,REP,S
